Player,Age,Position,Team,Games_Played,Games_Started,Minutes_Played,PTS_per_game,AST_per_game,REB_per_game,STL_per_game,BLK_per_game,TOV_per_game,FGA_per_game,FG_Pct,TwoPA_per_game,Tir_a_2_points_reussi,TwoP_Pct,ThreePA_per_game,ThreeP_per_game,ThreeP_Pct,FTA_per_game,FT_per_game,FT_Pct,eFG_Pct,AST_TOV_ratio,PER,TS_Pct,BPM,OBPM,DBPM,WS,Salary
Stephen Curry,36 ans,Meneur de jeu,Golden State Warriors,70,70,"32,2","24,5","6,0","4,4","1,1","0,4","2,9","18,0",48%,"6,8","3,6",53%,"11,2","4,4",39%,"4,3","4,0",93%,57%,"6,0 pour 2,9","21,5",62%,"6,3","6,4","0,0","7,9",55 761 216 millions
Victor Wembanyama,21 ans,Pivot,San Antonio Spurs,46,46,"33,2","24,3","3,7","11,0","1,1","3,8","3,2","18,6",47%,"9,9","5,8",58%,"8,8","3,1",35%,"4,1","3,4",83%,55%,"3,7 pour 3,2","24,2",59%,"6,5","3,6","2,9","3,8",12 768 960 millions
Paul George,34 ans,Ailier Fort,Philadelphia 76er,41,41,"32,5","16,2","4,3","5,3","1,8","0,5","2,6","13,9",43%,"7,4","3,6",49%,"6,5","2,3",35%,"2,4","1,9",81%,51%,"4,3 pour 2,6","14,5",54%,"-0,4","-0,5","0,1","1,0",49 205 800 millions
Alex Caruso,30 ans,Arrière,Oklahoma City Thunder,54,3,"19,3","7,1","2,5","2,9","1,6","0,6","0,7","5,8",44%,"2,7","1,5",55%,"3,1","1,1",35%,"0,9","0,8",82%,54%,"2,5 pour 0,7","15,9",56%,"4,0","0,1","3,9","3,9",9 890 000 millions
Desmond Bane,26 ans,Arrière,Memphis Grizzlies,69,68,"32,0","19,2","5,3","6,1","1,2","0,4","2,4","14,8",48%,"8,7","4,8",54%,"6,1","2,4",39%,"2,9","2,6",89%,56%,"5,3 pour 2,4","17,9",60%,"3,2","2,6","0,6","6,5",34 005 250 millions
Zaccharie Risacher,19 ans,Ailier,Atlanta Hawks,75,73,"24,6","12,6","1,2","3,6","0,7","0,5","1,2","10,4",45%,"5,8","3,1",54%,"4,6","1,6",35%,2,"1,4",71%,53%,"1,2 pour 1,2","12,2",55%,"-3,5","-1,7","-1,8","1,8",12 569 040 millions
Zach LaVine,29 ans,Ailier,Sacramento Kings,74,74,"35,2","23,3","4,2","4,3","0,8","0,2","2,8","16,5",51%,"9,3","5,2",56%,"7,2","3,2",44%,"3,9","3,2",82%,60%,"4,2 pour 2,8","15,9",64%,"-0,4","1,8","-2,3","2,1",44 531 940 millions
Michael Porter Jr,26 ans,Ailier,Denver Nuggets,77,77,"33,7","18,2","2,1","7,0","0,6","0,5","1,4","13,6",50%,"7,3","4,4",59%,"6,4","2,5",39%,"2,5","1,9",76%,59%,"2,1 pour 1,4","16,2",61%,"-0,1","1,6","-1,7","6,4",35 859 950 millions
Nikola Jokic,29 ans,Pivot,Denver Nuggets,70,70,"36,7","29,6","10,2","12,7","1,8","0,6","3,3","19,5",57%,"14,8","9,3",62%,"4,7","2,0",41%,"6,4","5,2",80%,62%,"10,2 pour 3,3","32,0",66%,"13,3","9,9","3,3","16,4",51 415 938 millions
Russell Westbrook,36 ans,Meneur de jeu,Denver Nuggets,75,36,"27,9","13,3","6,1","4,9","1,4","0,5","3,2","11,1",44%,"7,2","3,7",51%,"3,9","1,3",32%,"3,1","2,1",66%,50%,"6,1 pour 3,2","14,3",53%,"-1,1","-0,9","-0,2","1,9",5 631 296 millions
Kawhi Leonard,33 ans,Ailier,Los Angeles Clippers,37,37,"31,9","21,5","3,1","5,9","1,6","0,5","1,9","16,8",49%,"11,7","6,3",53%,"5,1","2,1",41%,"3,3","2,6",81%,56%,"3,1 pour 1,9","20,5",58%,"3,1","2,5","0,6","3,5",49 205 800 millions
Joel EmbiId,30 ans,Pivot,Philadelphia 76er,19,19,"30,2","23,8","4,5","8,2","0,7","0,9","3,3","16,6",44%,"12,5","6,2",49%,"4,1","1,2",29%,"8,9","7,8",88%,48%,"4,5 pour 3,3","23,4",58%,"3,5","3,7","-0,3","1,4",51 415 938 millions
